"animal","year","companyCount"
"Galtar","2000","2122"
"Galtar","2001","1973"
"Galtar","2002","1878"
"Galtar","2003","1694"
"Galtar","2004","1467"
"Galtar","2005","1259"
"Galtar","2006","1187"
"Galtar","2007","1049"
"Galtar","2008","995"
"Galtar","2009","885"
"Galtar","2010","723"
"Galtar","2011","666"
"Galtar","2012","591"
"Galtar","2013","588"
"Galtar","2014","617"
"Galtar","2015","562"
"Galtar","2016","573"
"Galtar","2017","648"
"Galtar","2018","601"
"Galtar","2019","506"
"Galtar","2020","536"
"Galtar","2021","527"
"Galtar","2022","502"
"Galtar","2023","509"
"Galtar","2024","514"
"Suggor, inklusive gyltor","2000","3218"
"Suggor, inklusive gyltor","2001","3022"
"Suggor, inklusive gyltor","2002","2726"
"Suggor, inklusive gyltor","2003","2468"
"Suggor, inklusive gyltor","2004","2117"
"Suggor, inklusive gyltor","2005","1767"
"Suggor, inklusive gyltor","2006","1606"
"Suggor, inklusive gyltor","2007","1433"
"Suggor, inklusive gyltor","2008","1350"
"Suggor, inklusive gyltor","2009","1122"
"Suggor, inklusive gyltor","2010","1031"
"Suggor, inklusive gyltor","2011","932"
"Suggor, inklusive gyltor","2012","746"
"Suggor, inklusive gyltor","2013","781"
"Suggor, inklusive gyltor","2014","771"
"Suggor, inklusive gyltor","2015","755"
"Suggor, inklusive gyltor","2016","763"
"Suggor, inklusive gyltor","2017","806"
"Suggor, inklusive gyltor","2018","822"
"Suggor, inklusive gyltor","2019","654"
"Suggor, inklusive gyltor","2020","693"
"Suggor, inklusive gyltor","2021","732"
"Suggor, inklusive gyltor","2022","716"
"Suggor, inklusive gyltor","2023","700"
"Suggor, inklusive gyltor","2024","751"
"Slaktgrisar","2000","3897"
"Slaktgrisar","2001","3625"
"Slaktgrisar","2002","3260"
"Slaktgrisar","2003","2993"
"Slaktgrisar","2004","2699"
"Slaktgrisar","2005","2306"
"Slaktgrisar","2006","2025"
"Slaktgrisar","2007","1937"
"Slaktgrisar","2008","1999"
"Slaktgrisar","2009","1773"
"Slaktgrisar","2010","1410"
"Slaktgrisar","2011","1297"
"Slaktgrisar","2012","1113"
"Slaktgrisar","2013","1065"
"Slaktgrisar","2014","1083"
"Slaktgrisar","2015","982"
"Slaktgrisar","2016","1019"
"Slaktgrisar","2017","1014"
"Slaktgrisar","2018","1057"
"Slaktgrisar","2019","896"
"Slaktgrisar","2020","919"
"Slaktgrisar","2021","898"
"Slaktgrisar","2022","941"
"Slaktgrisar","2023","860"
"Slaktgrisar","2024","889"
"Smågrisar","2000","2814"
"Smågrisar","2001","2674"
"Smågrisar","2002","2506"
"Smågrisar","2003","2217"
"Smågrisar","2004","1913"
"Smågrisar","2005","1644"
"Smågrisar","2006","1476"
"Smågrisar","2007","1312"
"Smågrisar","2008","1182"
"Smågrisar","2009","989"
"Smågrisar","2010","913"
"Smågrisar","2011","889"
"Smågrisar","2012","677"
"Smågrisar","2013","668"
"Smågrisar","2014","616"
"Smågrisar","2015","597"
"Smågrisar","2016","593"
"Smågrisar","2017","637"
"Smågrisar","2018","572"
"Smågrisar","2019","462"
"Smågrisar","2020","489"
"Smågrisar","2021","526"
"Smågrisar","2022","459"
"Smågrisar","2023","434"
"Smågrisar","2024","396"
"Summa grisar","2000","4327"
"Summa grisar","2001","4052"
"Summa grisar","2002","3777"
"Summa grisar","2003","3669"
"Summa grisar","2004","3227"
"Summa grisar","2005","2794"
"Summa grisar","2006","2677"
"Summa grisar","2007","2277"
"Summa grisar","2008","2128"
"Summa grisar","2009","1853"
"Summa grisar","2010","1695"
"Summa grisar","2011","1297"
"Summa grisar","2012","1113"
"Summa grisar","2013","1281"
"Summa grisar","2014","1282"
"Summa grisar","2015","1228"
"Summa grisar","2016","1252"
"Summa grisar","2017","1272"
"Summa grisar","2018","1346"
"Summa grisar","2019","1089"
"Summa grisar","2020","1146"
"Summa grisar","2021","1190"
"Summa grisar","2022","1173"
"Summa grisar","2023","1160"
"Summa grisar","2024","1177"
