"Year","Q","p","pork_p","pigs","farms","ln_p","ln_Q","NA","NA","NA"
2005,652.815,2496.0142435694,1686.55325248797,1792799.5,2821.75,7.82245043603129,6.48129378132708,14.3992889225755,7.43044222974466,7.94511253883574
2006,682.47,2455.3268711031,1716.25178079483,1693494.5,2630.41666666667,7.80601517641778,6.52571857004906,14.3423047035229,7.4478979946897,7.87489754101373
2007,732.18,2404.59079525844,1667.42171972144,1666980.08333333,2296.83333333333,7.78513502056144,6.5960263853718,14.3265242140511,7.41903383199305,7.73928664164709
2008,781.725,2322.49933345906,1938.98268722951,1604476.16666667,2103.25,7.75039918369508,6.6615030162935,14.2883078853654,7.56991872649186,7.65123904643092
2009,819.225,2271.83506611981,2092.48722873965,1535809.16666667,1858.41666666667,7.72834318306855,6.70835877139772,14.2445679445199,7.64610869899478,7.52748014970412
2010,834.705,2209.36573495815,1896.50807808095,1515338.66666667,1653,7.70046075556357,6.72707836901486,14.231149514298,7.54776962058782,7.41034709782102
2011,738,2123.67866599351,1871.64993138663,1469063.16666667,1311.58333333333,7.66090508371974,6.60394382460047,14.2001354540046,7.53457563708599,7.1789903377636
2012,876.51,2151.68559801104,2144.44646976225,1380966.83333333,1156.66666666667,7.67400681302987,6.77594811330933,14.1382944156898,7.67063674200503,7.0532975842728
2013,951.63,2222.31981121904,2384.49520844636,1392062.33333333,1263.66666666667,7.70630688928424,6.85817630378307,14.1462968985674,7.77674272827782,7.14177282684823
2014,870.735,2234.25791188815,2180.66932780171,1376600.41666667,1274.08333333333,7.71166442143825,6.76933768256888,14.1351275516245,7.68738713976043,7.14998224477261
2015,865.815,2165.47914009541,2048.41578504983,1358006.58333333,1237.16666666667,7.6803969277731,6.76367125987513,14.1215284349044,7.62482198559748,7.12057909788949
2016,860.19,2038.75476946415,2110.16901861554,1355586.41666667,1252.41666666667,7.62009449333857,6.75715329507862,14.1197446985016,7.65452332687125,7.1328302971461
2017,871.035,2048.33388092172,2064.229739819,1365722.33333333,1280.75,7.62478200066562,6.76968215974206,14.127194028563,7.63251242845901,7.15520112281931
2018,1126.98,1981.75500084378,1961.73445562435,1399186.33333333,1300.66666666667,7.59173809516244,7.02729676765338,14.1514014351526,7.58158428724705,7.17063223251495
2019,1175.595,1968.01607130073,2005.40941494007,1436637.41666667,1124,7.5847812438902,7.06952968138839,14.1778158135758,7.6036035158729,7.02464903045364
2020,1785.36,1946.49382460381,2246.31304675716,1374482.16666667,1146.41666666667,7.57378499448129,7.4873753545512,14.1335876120883,7.71704550526411,7.044396414673
2021,1935.375,1877.21855098319,2268.2617670874,1358839.25,1183,7.53754646613395,7.568056385137,14.122141400633,7.72676907577458,7.07580886397839
2022,1735.44,1748.72861396572,2655.23375843455,1375491.83333333,1172.91666666667,7.46664429657866,7.45901626253481,14.1343219220942,7.88428797440846,7.06724880321989
2023,1770.51,1612.3501367016,2860.62874384774,1317783,1163.66666666667,7.38544810587125,7.47902291965801,14.0914613370903,7.95879672015872,7.05933121843693
2024,2151.78,1981.53799770862,2980.6283196396,1334128.25,1175.25,7.59162858868111,7.67405068557251,14.1037886402669,7.9998894027913,7.06923616990424
