"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"Product","Ethacilin","Ethacilin","Ethacilin","Ethacilin","Ethacilin","Ethacilin","Penovet","Penovet","Penovet","Ultrapen","Ultrapen","Hippotrim","Hippotrim","Streptocillin","Streptocillin","Tylan","Engemycin","Engemycin"
"Size","5 most common","12 x 100 milliliter","100 milliliter","12 x 250 milliliter","250 milliliter","48 x 100 milliliter","5 x 100 milliliter","100 milliliter","250 milliliter","100 milliliter","12 x 100 milliliter","100 milliliter","12 x 100 milliliter","5 x 100 milliliter","100 milliliter","100 milliliter","100 milliliter","10 x 100 milliliter"
"SR elasticity","-0.0320
(0.1874)","-0.0467
(0.2175)","-1.1947
(1.5763)","-0.0576
(0.3308)","-0.2180
(0.9670)","-0.3825
(0.4606)","0.0269
(0.2176)","-0.9428
(0.7219)","-2.1515
(2.5638)","8.0531
(11.8125)","-19.2015***
(4.2887)","0.4206
(0.3292)","-1.0746**
(0.4886)","4.6335***
(1.6348)","-4.0311
(2.5525)","-6.8331***
(0.4139)","1.6881***
(0.5791)","-0.6479
(0.6482)"
"SR pigs","-0.8605***
(0.3200)","0.2337
(0.2017)","-27.4986
(27.1130)","14.6962
(19.7357)","-1.0547
(0.7624)","0.0757
(0.9971)","0.0891
(0.0848)","1.5395**
(0.6039)","-43.6903
(27.8342)","-296.6644
(394.3146)","-13.5864
(134.5591)","-2.1155*
(1.0893)","-0.0291
(0.2901)","5.4820
(20.8662)","17.7092
(13.0857)","9.2110
(6.3001)","-3.2563*
(1.9470)","-0.1581
(0.2854)"
"SR pork price","-0.4269
(0.3395)","0.1639
(0.0996)","-0.4063
(1.3430)","-1.2195
(0.9484)","-3.7379***
(1.4096)","-0.0504
(0.8491)","-3.9906
(3.0269)","-0.5751*
(0.3145)","1.1419
(1.6123)","7.4780
(8.3303)","-13.1501*
(5.9264)","11.4992
(7.5442)","-1.5853
(1.4981)","-1.1157
(1.0548)","0.6028
(1.2491)","-0.9558*
(0.5144)","0.4644
(0.9064)","-2.9492**
(1.3731)"
"Time periods","240","240","239","239","237","240","240","240","207","73","70","186","186","240","192","169","238","239"
"Lag order","5, 2, 0, 1","3, 0, 0, 0","11, 9, 12, 4","6, 0, 10, 1","7, 0, 0, 3","5, 4, 0, 4","3, 0, 1, 0","3, 0, 0, 0","7, 9, 10, 10","12, 12, 12, 12","12, 12, 12, 12","2, 2, 1, 0","2, 1, 0, 0","8, 10, 8, 8","5, 3, 6, 2","3, 3, 1, 2","3, 2, 0, 4","9, 12, 0, 0"
"Bounds f-test p-value","0.9002","0.3517","0.7466","0.9981","0.7162","0.6634","0.4758","0.0404","0.0828","0.5351","0.0003","0.1177","0.0136","0.4688","0.0228","0.3595","0.0003","0.6777"
"Bounds t-test p-value","0.9622","0.2104","0.6812","0.9624","0.4468","0.5201","0.2375","0.0175","0.0725","0.3506","0.0044","0.0690","0.0044","0.6621","0.0099","0.3552","0.0002","0.5582"
"LR elasticity",NA,NA,NA,NA,NA,NA,NA,"-2.8961
(2.0037)",NA,NA,"-9.4429**
(3.1759)",NA,"4.2605***
(1.5226)",NA,"-13.3941***
(2.1789)",NA,"5.0838***
(0.6239)",NA
"LR pigs",NA,NA,NA,NA,NA,NA,NA,"4.7292***
(1.6199)",NA,NA,"-7.0353
(10.3899)",NA,"-3.9897**
(1.5550)",NA,"-0.0865
(2.3191)",NA,"3.1017***
(0.9446)",NA
"LR pork price",NA,NA,NA,NA,NA,NA,NA,"-1.7667**
(0.8258)",NA,NA,"1.4836
(1.9964)",NA,"-0.1079
(1.0773)",NA,"-0.5916
(1.0432)",NA,"0.8062*
(0.4385)",NA
"Speed of adj",NA,NA,NA,NA,NA,NA,NA,"-0.3255",NA,NA,"-4.2286",NA,"-0.2693",NA,"-0.5178",NA,"-0.5443",NA
"Adjusted R2","0.4288","0.3570","0.4687","0.3583","0.5292","0.4762","0.4047","0.4085","0.4663","0.7078","0.9555","0.2418","0.2162","0.4810","0.4535","0.8196","0.3686","0.2553"
"Significant results",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",NA,"YES","YES","YES","YES","YES",NA
